Property ID,Property ZIP,Year Built,Unit,Beds,Baths,Floorplan,Lease Id,Type,Tenant Id,Online?,Renewal,Lease Start,Lease End,Rent,Income,Verified Income,Employer,Status,Birthday,Previous City,Previous State,Previous ZIP,Previous Country,Referral,Moving From,Industry,Pets1,Pets2,Pets3,Insurent1,Insurent2,Score,Unit,Unit Type,SF,Resident,Market Rent,Actual Rent,Move In Date,Lease Expiration Date,Move Out Date,Married,Household Type,Gender,# of Occupants,# of Children,Work from Home?
162194,11217,2013,14D,0,1,"STU, 1 BA",10014979,INDIVIDUAL,32718325,Y,FALSE,4/6/2014,4/30/2016,2552,155000,80000,"Judy Wald & Partners, Inc-DBA: Marcus St Jean",Closed,12/1/1982,Brooklyn,NY,11215,US,Broker,NYC Other (Staten Island and Bronx),"Creative (media, advertising, fashion)",No,None,none,No,0,8.8,14D,0-501m,501,t0023624,5100,2552,4/6/2014,4/30/2018,0,N,Single,F,1,0,No
162194,11217,2013,32F,0,1,"STU, 1 BA",11837075,INDIVIDUAL,35991390,Y,FALSE,9/15/2014,9/30/2015,2880,95000,105000,Apex uniforms nyc,Approved,1/1/1980,Brooklyn,NY,11201,US,Personal Referral,Manhattan,0,0,None,none,No,0,5.8,32F,0-515m,515,t0024011,5000,5000,9/15/2014,9/30/2015,0,N,Single,F,1,0,No
162194,11217,2013,13F,1,1,"1 BR, 1 BA",10646165,INDIVIDUAL,33801246,Y,FALSE,10/1/2014,9/30/2016,3440,109252.78,109252.78,American Express,Approved,6/1/1985,New York,NY,10028,US,Broker,0,0,0,None,none,No,0,9,13F,1-746m,746,t0023744,6000,0,10/1/2014,9/30/2016,0,N,Single,F,1,0,No
162194,11217,2013,12G,2,2,"2 BR, 2 BA",12137289,INDIVIDUAL,36539071,Y,FALSE,10/8/2014,10/31/2016,4675,320000,200000,Lady Prison Productions,Approved,2/1/1981,Astoria,NY,11105,US,Broker,NYC Other (Staten Island and Bronx),0,0,None,one,No,0,4.2,12G,2-986m,986,t0024109,8000,0,10/8/2014,10/31/2016,0,N,Single,F,1,0,No
162194,11217,2013,26G,0,1,"STU, 1 BA",11908591,INDIVIDUAL,36128060,Y,FALSE,10/15/2014,10/31/2015,2800,87000,102000,Merrill Llynch,Approved,2/1/1989,New York,NY,10009,US,Craigslist,Manhattan,0,0,None,none,No,0,7.4,26G,0-521m,521,t0024058,5000,2800,10/15/2014,10/31/2017,0,N,Single,M,1,0,No
162194,11217,2013,10G,2,2,"2 BR, 2 BA",11701634,INDIVIDUAL,35741701,Y,FALSE,11/1/2014,10/31/2015,4655,60000,54372,New York City Dept. of Education,Closed,1/1/1986,Closter,NJ,7624,US,Live in Neighborhood,Tri-state,0,0,None,none,No,0,8.8,10G,2-986m,986,t0023982,8160,4655,11/1/2014,10/31/2017,0,N,Roommates,MF,2,0,No
162194,11217,2013,29B,1,1,"1 BR, 1 BA, Balcony",11743418,INDIVIDUAL,35813731,Y,FALSE,11/7/2014,7/31/2016,3820,260000,260000,Kingsbrook Jewish,Approved,7/1/1979,New York,NY,10018,US,Website,Manhattan,0,0,One,one,No,0,6.3,29B,1-696mb,696,t0023980,6000,3820,11/7/2014,7/31/2017,0,Y,Couple,MF,2,2,Yes
156212,10028,1986,25-G,2,2,"2 Bed / 2 Bath, 950 sq. ft.",13173578,INDIVIDUAL,38439320,Y,FALSE,11/14/2014,1/0/1900,7000,400000,279791,FWL&K CPA's,Closed,6/1/1983,New York,NY,10017,US,Streeteasy,Manhattan,0,No,None,none,No,0,-1,25-G,b2-col,1075,t0126509,7000,7000,11/14/2014,01/31/2017,0,Yes,Family,M,3.5,1.5,N
162194,11217,2013,25E,1,1,"1 BR, 1 BA, Balcony",11673286,INDIVIDUAL,35684041,Y,FALSE,11/15/2014,7/31/2016,3680,115625,92500,JM Search,Closed,11/1/1987,New York,NY,10007,US,Sign,Manhattan,0,0,None,none,No,0,7,25E,1-725mb,725,t0023975,6000,3680,11/15/2014,7/31/2018,0,N,Couple,MF,2,0,No
162194,11217,2013,25H,1,1,"1 BR, 1 BA",11704301,INDIVIDUAL,35750573,Y,FALSE,11/15/2014,7/31/2016,3330,48000,48000,Tribeca Film Institute,Approved,6/1/1986,New York,NY,10002,US,Broker,Manhattan,0,0,One,one,No,0,8.4,25H,1-657m,657,t0023961,6000,3330,11/15/2014,7/31/2017,0,N,Couple,MM,2,0,No
162194,11217,2013,37B,0,1,"STU, 1 BA",12690464,INDIVIDUAL,37609366,Y,FALSE,11/22/2014,11/30/2015,2940,210000,210000,Ropes & Gray LLP,Closed,7/1/1985,Brooklyn,NY,11217,US,Streeteasy,NYC Other (Staten Island and Bronx),0,0,None,none,No,0,6.3,37B,0-510mw,510,t0024211,5000,2940,11/22/2014,11/30/2016,0,N,Single,F,1,0,No
162194,11217,2013,34B,1,1,"1 BR, 1 BA, Balcony",12379461,INDIVIDUAL,37071933,Y,FALSE,11/27/2014,11/30/2015,3870,53000,42850,Columbia University,Approved,1/1/1979,Cambridge,MA,2139,US,Broker,USA,0,0,None,none,No,0,4.8,34B,1-696mb,696,t0024161,6000,3870,11/27/2014,11/30/2016,0,N,Single,F,1,0,No
162194,11217,2013,33B,1,1,"1 BR, 1 BA, Balcony",11883170,INDIVIDUAL,36075252,Y,FALSE,11/30/2014,7/31/2016,3860,115000,115000,CNBC (NBCUniversal),Closed,3/1/1986,New York,NY,10014,US,Broker,Manhattan,0,0,One,one,No,0,7.2,33B,1-696mb,696,t0024022,6000,3860,11/30/2014,7/31/2017,0,Y,Couple,MF,2,0,No
162194,11217,2013,33E,1,1,"1 BR, 1 BA, Balcony",12140533,INDIVIDUAL,36554474,Y,FALSE,11/30/2014,7/31/2016,3760,200000,200000,Square,Closed,5/1/1980,New York,NY,10019,US,Sign,Manhattan,0,0,None,none,No,0,8.1,33E,1-725mb,725,t0024110,6000,3760,11/30/2014,7/31/2017,0,?,Couple,MF,2,0,No
162194,11217,2013,40A,2,2,"2 BR, 2 BA, 2 Balconies",12020177,INDIVIDUAL,36327296,Y,FALSE,1/1/2015,12/31/2016,5740,235000,235000,Baker hostetler,Approved,7/1/1979,New york,NY,10003,US,Broker,Manhattan,0,0,One,one,No,0,7.8,40A,21057mbb,1057,t0024080,8000,5740,1/1/2015,12/31/2016,0,N,Couple,MF,2,0,No
156212,10028,1986,6-C,2,1.5,2 Bed/1.5 BA,13758199,INDIVIDUAL,28480582,N,FALSE,1/1/2015,12/31/2015,5150,0,0,0,Approved,1/0/1900,0,0,0,0,Unknown,Manhattan,0,No,0,none,No,0,-100,06-C,b5-col,835,t0127531,5500,5150,01/01/2015,12/31/2016,0,No,Single,F,1,0,N
162194,11217,2013,39A,2,2,"2 BR, 2 BA, 2 Balconies",13363634,INDIVIDUAL,38759133,Y,FALSE,1/31/2015,4/30/2016,5730,275000,117577,"Villany Associates, Inc.",Approved,8/1/1983,New York,NY,10005,US,Streeteasy,Manhattan,0,0,One,one,No,0,6.5,39A,21057mbb,1057,t0024344,8000,5730,1/31/2015,4/30/2017,0,Y,Couple,MF,2,0,No
162194,11217,2013,35E,2,2,"2 BR, 2 BA, Terrace",10519000,INDIVIDUAL,33578983,Y,FALSE,2/1/2015,1/31/2017,5690,0,1000040,"Mark E. Fischler, CPA",Approved,9/1/1961,Brooklyn,NY,11205,US,Property Website,NYC Other (Staten Island and Bronx),0,0,None,none,No,0,9.5,35E,2-971MTW,971,t0023839,8000,5690,2/1/2015,1/31/2017,0,N,Couple,MF,1,1,No
