movieId,title,genres,imdbId,tmdbId,(no genres listed),Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,title2,runtime,rt_score,imdb_votes
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,114709,862,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Toy Story,0.136363636,1,0.428632917
2,Jumanji (1995),Adventure|Children|Fantasy,113497,8844,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Jumanji,0.175084175,0.54,0.145632989
3,Grumpier Old Men (1995),Comedy|Romance,113228,15602,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Grumpier Old Men,0.17003367,0.17,0.012196361
4,Waiting to Exhale (1995),Comedy|Drama|Romance,114885,31357,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Waiting to Exhale,0.208754209,0.56,0.004695507
5,Father of the Bride Part II (1995),Comedy,113041,11862,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Father of the Bride Part II,0.178451178,0.48,0.016978278
6,Heat (1995),Action|Crime|Thriller,113277,949,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Heat,0.286195286,0.86,0.283954247
7,Sabrina (1995),Comedy|Romance,114319,11860,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Sabrina,0.19023569,0.92,0.028955625
8,Tom and Huck (1995),Adventure|Children,112302,45325,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tom and Huck,0.163299663,0.25,0.004888979
9,Sudden Death (1995),Action,114576,9091,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sudden Death,0.186868687,0.51,0.016245149
10,GoldenEye (1995),Action|Adventure|Thriller,113189,710,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GoldenEye,0.218855219,0.78,0.121326676
11,"American President, The (1995)",Comedy|Drama|Romance,112346,9087,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"American President, The",0,0,0
12,Dracula: Dead and Loving It (1995),Comedy|Horror,112896,12110,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Dracula: Dead and Loving It,0.148148148,0.11,0.019477114
13,Balto (1995),Adventure|Animation|Children,112453,21032,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Balto,0.131313131,0.52,0.019706455
14,Nixon (1995),Drama,113987,10858,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Nixon,0.323232323,0.75,0.014644112
15,Cutthroat Island (1995),Action|Adventure|Romance,112760,1408,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Cutthroat Island,0.208754209,0.38,0.013062095
16,Casino (1995),Crime|Drama,112641,524,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Casino,0.2996633,0.79,0.224607172
17,Sense and Sensibility (1995),Drama|Romance,114388,4584,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Sense and Sensibility,0.228956229,0.98,0.050131599
18,Four Rooms (1995),Comedy,113101,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Four Rooms,0.164983165,0.14,0.049189237
19,Ace Ventura: When Nature Calls (1995),Comedy,112281,9273,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ace Ventura: When Nature Calls,0.151515152,0.33,0.10171261
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,113845,11517,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,Money Train,0.185185185,0.22,0.019723846
21,Get Shorty (1995),Comedy|Crime|Thriller,113161,8012,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Get Shorty,0.176767677,0.87,0.038574892
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,112722,1710,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,Copycat,0.207070707,0.76,0.026904058
23,Assassins (1995),Action|Crime|Thriller,112401,9691,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Assassins,0.222222222,0.15,0.039387367
24,Powder (1995),Drama|Sci-Fi,114168,12665,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Powder,0.186868687,0.5,0.014682154
25,Leaving Las Vegas (1995),Drama|Romance,113627,451,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Leaving Las Vegas,0.186868687,0.9,0.058000377
26,Othello (1995),Drama,114057,16420,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Othello,0.207070707,0.67,0.004615618
